ind	var	type	feature_posi	min_40	max_60	min_25	max_75	median	min_10	max_90	mean
P. echinospica	meth_depth	exon	51	0.231781936	0.782267455555556	0.09375	0.867697157142857	0.7108335	0.054211852	0.94224840952381	0.50890288298247
P. echinospica	meth_depth	exon	52	0.171523432	0.7377485	0.09516165	0.855310225	0.633170083333333	0.0632207545	0.95780951	0.501720687638889
P. echinospica	meth_depth	exon	53	0.35840296	0.879357563636364	0.0720497	0.896296	0.843561933333333	0.0527072942857143	0.94503725	0.550560192556953
P. echinospica	meth_depth	exon	54	0.549617133333334	0.886145166666667	0.0981647375	0.912436895833333	0.818269472222222	0.083348802	0.9370518625	0.576262035192986
P. echinospica	meth_depth	exon	55	0.1666665	0.805932733333333	0.07900525625	0.842260142857143	0.781906942105263	0.024541875	0.914440976470588	0.512213844745826
P. echinospica	meth_depth	exon	56	0.07340662	0.78293875	0.05	0.8656014	0.454832666666667	0.00914815333333334	0.934479066666667	0.460007478205128
P. echinospica	meth_depth	exon	57	0.13254875	0.853499866666667	0.128588928125	0.899340166666667	0.482022166666667	0.0639187266666667	0.920043682352941	0.502689393455882
P. echinospica	meth_depth	exon	58	0.1496667	0.283030304761905	0.10208345	0.76174524702381	0.163333333333333	0.07765148	0.838554211666667	0.382211380059524
P. echinospica	meth_depth	exon	59	0.0443636	0.1637572	0.0379016	0.608530159090909	0.058593375	0.02212448	0.873244505454546	0.314174873295455
P. echinospica	meth_depth	exon	60	0.09279728	0.248302041333333	0.077893525	0.7831745	0.109434346666667	0.06777378	0.88680069375	0.3698162465625
P. echinospica	meth_depth	exon	61	0.111752033333333	0.12187355	0.0672237020833333	0.704693005921053	0.116812791666667	0.0261904625	0.910343328947368	0.351115527704678
